Year_UTC,Month_UTC,Day_UTC,Latitude,Longitude,pH_T_measured,pH_flag
2021,6,25,51.458,-130.846,7.3043,2
2021,6,25,51.458,-130.846,-999,9
2021,6,25,51.458,-130.846,7.2856,6
2021,6,25,51.457,-130.846,7.2701,2
2021,6,25,51.457,-130.846,7.083,4
2021,6,25,51.457,-130.846,7.4213,2
2021,6,25,51.457,-130.846,7.4895,2
2021,6,25,51.457,-130.846,7.5055,2
2021,6,25,51.457,-130.846,7.5779,2
2021,6,25,51.457,-130.846,7.6433,2
2021,6,25,51.456,-130.846,7.7242,2
2021,6,25,51.456,-130.847,7.7264,2
2021,6,25,51.456,-130.847,7.7877,6
2021,6,25,51.456,-130.847,-999,9
2021,6,25,51.456,-130.847,-999,9
2021,6,25,51.456,-130.847,7.8118,2
2021,6,25,51.456,-130.847,7.8571,2
2021,6,25,51.456,-130.847,-999,9
2021,6,25,51.456,-130.847,7.8156,2
2021,6,25,51.456,-130.847,-999,9
2021,6,25,51.456,-130.847,-999,9
2021,6,25,51.456,-130.847,-999,9
2021,6,25,51.711,-130.642,7.278,2
2021,6,25,51.711,-130.642,-999,9
2021,6,25,51.711,-130.642,7.2785,6
2021,6,25,51.712,-130.644,7.3053,2
2021,6,25,51.713,-130.644,7.3247,2
2021,6,25,51.713,-130.644,7.3588,2
2021,6,25,51.714,-130.645,7.3964,2
2021,6,25,51.714,-130.645,7.4435,2
2021,6,25,51.714,-130.645,7.4744,2
2021,6,25,51.714,-130.645,7.482,2
2021,6,25,51.714,-130.645,-999,9
2021,6,25,51.715,-130.645,7.5125,2
2021,6,25,51.715,-130.645,7.5477,2
2021,6,25,51.715,-130.645,7.6023,2
2021,6,25,51.715,-130.645,7.6102,2
2021,6,25,51.715,-130.645,7.6192,2
2021,6,25,51.715,-130.645,-999,9
2021,6,25,51.715,-130.645,-999,9
2021,6,25,51.715,-130.645,7.687,2
2021,6,25,51.716,-130.645,7.7291,6
2021,6,25,51.716,-130.644,7.7585,2
2021,6,25,51.716,-130.644,7.7318,2
2021,6,25,51.716,-130.644,-999,9
